GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
homework-epam,homework1,Factorial,12,34,0,4,4,7,2,4,2,2
homework-epam,homework1,Fibonacci,17,44,2,8,6,11,4,5,2,2
homework-epam,homework1,Main,60,0,0,0,6,0,2,0,2,0
homework-epam,homework1,SortImpl,0,122,1,25,0,30,1,16,0,4
homework-epam,homework3,User,29,0,0,0,8,0,7,0,7,0
homework-epam,homework3,User.Builder,44,0,0,0,13,0,7,0,7,0
homework-epam,homework3,Main,17,0,0,0,9,0,2,0,2,0
homework-epam,homework2,Main,40,0,0,0,5,0,2,0,2,0
homework-epam,homework2,Address,26,0,0,0,12,0,6,0,6,0
homework-epam,homework2,User,124,0,28,0,19,0,17,0,3,0
homework-epam,homework2,Person,84,0,4,0,15,0,6,0,4,0
homework-epam,homework4,UniversityData,0,19,0,0,0,7,0,3,0,3
homework-epam,homework4,Main,166,0,0,0,44,0,2,0,2,0
homework-epam,homework4,FilteredListImpl,17,207,4,16,2,38,4,15,1,8
homework-epam,homework4,Student,15,78,0,0,5,15,5,5,5,5
homework-epam,homework4,Faculty,5,43,0,0,0,4,1,3,1,3
homework-epam,homework4,Student.Builder,12,50,1,1,1,18,1,9,0,9
homework-epam,homework4,Course,0,15,0,0,0,6,0,3,0,3
homework-epam,homework4,Address,12,12,0,0,4,5,4,1,4,1
